DAY_DATE,START,END,HOURS,REASON
1/5/2026,2026-01-05T07:00:00Z,2026-01-05T10:00:00Z,3,Breakdown
1/5/2026,2026-01-05T10:30:00Z,2026-01-05T12:00:00Z,1.5,Setup
1/5/2026,2026-01-05T14:00:00Z,2026-01-05T15:30:00Z,1.5,Maintenance
1/6/2026,2026-01-06T08:00:00Z,2026-01-06T09:15:00Z,1.25,Breakdown
1/6/2026,2026-01-06T13:00:00Z,2026-01-06T14:00:00Z,1,Quality Check
1/6/2026,2026-01-06T15:00:00Z,2026-01-06T17:30:00Z,2.5,Cleaning
1/7/2026,2026-01-07T09:00:00Z,2026-01-07T11:00:00Z,2,Breakdown
1/7/2026,2026-01-07T11:30:00Z,2026-01-07T12:15:00Z,0.75,Tool Change
1/7/2026,2026-01-07T14:30:00Z,2026-01-07T16:00:00Z,1.5,Training
1/8/2026,2026-01-08T07:15:00Z,2026-01-08T08:45:00Z,1.5,Sensor Fault
1/8/2026,2026-01-08T10:00:00Z,2026-01-08T12:30:00Z,2.5,Maintenance
1/8/2026,2026-01-08T13:30:00Z,2026-01-08T14:30:00Z,1,Calibration
1/9/2026,2026-01-09T08:00:00Z,2026-01-09T09:00:00Z,1,Power Failure
1/9/2026,2026-01-09T22:00:00Z,2026-01-10T02:00:00Z,4,Maintenance
1/9/2026,2026-01-09T12:00:00Z,2026-01-09T13:12:00Z,1.2,Quality Check
1/10/2026,2026-01-10T07:00:00Z,2026-01-10T08:00:00Z,1,Shift Handover
1/10/2026,2026-01-10T14:00:00Z,2026-01-10T15:30:00Z,1.5,Breakdown
1/10/2026,2026-01-10T15:45:00Z,2026-01-10T16:30:00Z,0.75,Machine Jam
1/11/2026,2026-01-11T09:30:00Z,2026-01-11T10:30:00Z,1,Inspection
1/11/2026,2026-01-11T14:30:00Z,2026-01-11T16:00:00Z,1.5,Breakdown
1/11/2026,2026-01-11T16:15:00Z,2026-01-11T17:00:00Z,0.75,Cleaning
1/12/2026,2026-01-12T08:00:00Z,2026-01-12T10:00:00Z,2,Power Failure
1/12/2026,2026-01-12T15:00:00Z,2026-01-12T16:30:00Z,1.5,Breakdown
1/12/2026,2026-01-12T11:00:00Z,2026-01-12T11:45:00Z,0.75,Setup
1/13/2026,2026-01-13T07:30:00Z,2026-01-13T09:00:00Z,1.5,Machine Jam
1/13/2026,2026-01-13T13:00:00Z,2026-01-13T14:00:00Z,1,Training
1/13/2026,2026-01-13T15:30:00Z,2026-01-13T16:15:00Z,0.75,Quality Check
1/14/2026,2026-01-14T08:00:00Z,2026-01-14T11:00:00Z,3,Unknown Failure
1/14/2026,2026-01-14T12:30:00Z,2026-01-14T13:30:00Z,1,Maintenance
1/14/2026,2026-01-14T14:00:00Z,2026-01-14T15:00:00Z,1,Calibration
13/40/2026,2026-01-15T09:00:00Z,2026-01-15T10:30:00Z,1.5,Sensor Fault
1/15/2026,,2026-01-15T12:00:00Z,2,Maintenance
1/15/2026,2026-01-15T14:00:00Z,,1.5,Training
1/16/2026,not-a-time,2026-01-16T10:00:00Z,1,Breakdown
1/16/2026,2026-01-16T13:00:00Z,bad-timestamp,1,Power Failure
1/16/2026,2026-01-16T08:00:00Z,2026-01-16T10:00:00Z,-2,Setup
1/17/2026,2026-01-17T08:00:00Z,2026-01-17T09:00:00Z,9,Breakdown
1/17/2026,2026-01-17T15:00:00Z,2026-01-17T14:00:00Z,1,Machine Jam
1/17/2026,2026-01-17T10:00:00Z,2026-01-17T11:00:00Z,1,Quality Check
99/99/2026,also-not-a-time,2026-01-18T10:00:00Z,1,Cleaning
1/18/2026,2026-01-18T08:00:00Z,2026-01-18T09:00:00Z,1,Inspection
1/18/2026,2026-01-18T08:00:00Z,2026-01-18T09:00:00Z,1,Inspection
1/19/2026,2026-01-19T07:00:00Z,2026-01-19T08:30:00Z,1.5,Material Shortage
1/19/2026,2026-01-19T09:00:00Z,2026-01-19T10:00:00Z,1,Tool Change
1/19/2026,2026-01-19T14:30:00Z,2026-01-19T16:00:00Z,1.5,Breakdown
1/20/2026,2026-01-20T08:00:00Z,2026-01-20T09:30:00Z,1.5,Software Update
1/20/2026,2026-01-20T10:00:00Z,2026-01-20T11:15:00Z,1.25,Calibration
1/20/2026,2026-01-20T23:00:00Z,2026-01-21T01:30:00Z,2.5,Unknown Failure
1/21/2026,2026-01-21T07:30:00Z,2026-01-21T09:00:00Z,1.5,Shift Handover
1/21/2026,2026-01-21T13:00:00Z,2026-01-21T14:45:00Z,1.75,Quality Check
