DAY_DATE,START,END,HOURS,REASON
11/1/2025,2025-11-01T07:00:00Z,2025-11-01T09:00:00Z,2,Maintenance
13/45/2025,2025-11-02T08:00:00Z,2025-11-02T09:00:00Z,1,Cleaning
11/2/2025,not-a-time,2025-11-02T10:00:00Z,1,Breakdown
11/3/2025,,2025-11-03T12:00:00Z,2,Power Failure
11/3/2025,2025-11-03T14:00:00Z,,1.5,Training
11/4/2025,2025-11-04T08:00:00Z,2025-11-04T10:00:00Z,-2,Setup
11/4/2025,2025-11-04T09:00:00Z,2025-11-04T10:00:00Z,9,Breakdown
11/5/2025,2025-11-05T22:00:00Z,2025-11-06T02:00:00Z,4,Maintenance
11/6/2025,2025-11-06T08:00:00Z,2025-11-06T09:00:00Z,1,Cleaning
11/6/2025,2025-11-06T08:00:00Z,2025-11-06T09:00:00Z,1,Cleaning
