DAY_DATE,START,END,HOURS,REASON
12/1/2025,2025-12-01T07:00:00Z,2025-12-01T08:30:00Z,1.5,Sensor Fault
12/1/2025,2025-12-01T09:00:00Z,2025-12-01T10:15:00Z,1.25,Tool Change
12/2/2025,2025-12-02T08:00:00Z,2025-12-02T09:00:00Z,1,Calibration
12/2/2025,2025-12-02T13:00:00Z,2025-12-02T16:00:00Z,3,Sensor Fault
12/3/2025,2025-12-03T07:30:00Z,2025-12-03T08:00:00Z,0.5,Shift Handover
12/3/2025,2025-12-03T10:00:00Z,2025-12-03T12:30:00Z,2.5,Tool Change
12/4/2025,2025-12-04T14:00:00Z,2025-12-04T17:00:00Z,3,Sensor Fault
12/4/2025,2025-12-04T08:00:00Z,2025-12-04T09:30:00Z,1.5,Maintenance
12/5/2025,2025-12-05T09:00:00Z,2025-12-05T10:00:00Z,1,Calibration
12/5/2025,2025-12-05T15:00:00Z,2025-12-05T18:00:00Z,3,Breakdown
